"Sanctioned Budget Additionality, Saving and Revised (full FY) with Expenditure FROM [ 01/04/2018 ] TO [ 31/03/2022 ]"
As Per Selected Query Demand and HOA Wise Summary [in Rupees]
DmdCd,HOA,"Sanction Budget
(April)",Addition,Saving,"Revised Budget
(A)","Expenditure
(within selected period) (B)","Balance
(A-B)"
,03-2070-00-105-04-S00N-03-N-V-TRAVEL EXPENSES,100000.00,0.00,0.00,100000.00,18040.00,81960.00
,03-2070-00-105-04-S00N-05-N-V-OFFICE EXPENSES,500000.00,200000.00,0.00,700000.00,699505.00,495.00
,03-2070-00-105-04-S00N-06-N-V-MEDICAL REIMBURSEMENT,221000.00,0.00,0.00,221000.00,26723.00,194277.00
,03-2070-00-105-04-S00N-08-N-V-PUBLICATIONS,193000.00,0.00,0.00,193000.00,0.00,193000.00
,03-2070-00-105-04-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,15000.00,0.00,0.00,15000.00,840.00,14160.00
,03-2070-00-105-04-S00N-15-N-V-TRAINING,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2070-00-105-04-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2070-00-105-04-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2070-00-105-04-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),358000.00,1000000.00,0.00,1358000.00,1342446.00,15554.00
,03-2070-00-105-04-S00N-64-N-V-TRANSFER EXPENSES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2070-00-105-04-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,100000.00,1300000.00,0.00,1400000.00,1286982.00,113018.00
,03-2070-00-105-04-S00N-99-N-V-HONORARIUM,0.00,250000.00,0.00,250000.00,181000.00,69000.00
,03-2216-05-053-01-S00N-21-N-V-MAINTENANCE,4058000.00,3460000.00,0.00,7518000.00,0.00,7518000.00
,03-4059-01-051-15-C90N-37-P-V-MAJOR WORKS,100000.00,94223000.00,100000.00,94223000.00,94223000.00,0.00
,03-4059-01-051-15-S00N-37-N-V-MAJOR WORKS,6100000.00,2362000.00,0.00,8462000.00,0.00,8462000.00
,03-4059-01-051-15-S10N-37-P-V-MAJOR WORKS,100000.00,6111000.00,100000.00,6111000.00,6111000.00,0.00
,03-4059-01-051-25-S00N-37-P-V-MAJOR WORKS,33800000.00,0.00,0.00,33800000.00,32781300.00,1018700.00
,03-4059-01-051-31-S00N-37-N-V-MAJOR WORKS,100000.00,199000000.00,0.00,199100000.00,0.00,199100000.00
,03-4059-01-051-32-S00N-37-P-V-MAJOR WORKS,100000.00,37500000.00,0.00,37600000.00,0.00,37600000.00
,03-4059-01-051-36-S00N-37-N-V-MAJOR WORKS,1300000.00,4500000.00,0.00,5800000.00,0.00,5800000.00
,03-4059-01-051-42-S00N-37-N-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
04-GENERAL ADMINISTRATION,Total,2841977000.00,408196723.00,108590043.00,3141583680.00,2434424894.00,707158786.00
,04-2051-00-102-01-S00N-01-N-C-SALARIES,73399000.00,0.00,0.00,73399000.00,59730374.00,13668626.00
,04-2051-00-102-01-S00N-03-N-C-TRAVEL EXPENSES,189000.00,0.00,0.00,189000.00,24799.00,164201.00
,04-2051-00-102-01-S00N-04-N-C-LIVERIES,66000.00,0.00,0.00,66000.00,1150.00,64850.00
,04-2051-00-102-01-S00N-05-N-C-OFFICE EXPENSES,3455000.00,2000000.00,0.00,5455000.00,5453625.00,1375.00
,04-2051-00-102-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,2422000.00,0.00,0.00,2422000.00,1111744.00,1310256.00
,"04-2051-00-102-01-S00N-07-N-C-RENT, RATES & TAXES",170000.00,38290.00,0.00,208290.00,208290.00,0.00
,04-2051-00-102-01-S00N-08-N-C-PUBLICATIONS,400000.00,0.00,0.00,400000.00,354000.00,46000.00
,04-2051-00-102-01-S00N-09-N-C-ADVERTISING & PUBLICITY,800000.00,0.00,0.00,800000.00,620280.00,179720.00
,04-2051-00-102-01-S00N-10-N-C-HOSPITALITY & ENT.EXPENSES,333000.00,0.00,0.00,333000.00,238323.00,94677.00
,04-2051-00-102-01-S00N-12-N-C-PROFESSIONAL & SPECIAL SERVICE,60000000.00,0.00,10000000.00,50000000.00,23650058.00,26349942.00
,04-2051-00-102-01-S00N-27-N-C-MOTOR VEHICLES (Purchase),1000.00,2356949.00,0.00,2357949.00,2337964.00,19985.00
,04-2051-00-102-01-S00N-30-N-C-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1800000.00,0.00,0.00,1800000.00,1463840.00,336160.00
,04-2051-00-102-01-S00N-65-N-C-REMUNERATION TO OUTSOURCE EMPLOYEES,2657000.00,1550000.00,0.00,4207000.00,4200210.00,6790.00
,04-2051-00-103-01-S00N-01-N-V-SALARIES,44696000.00,0.00,0.00,44696000.00,40500921.00,4195079.00
,04-2051-00-103-01-S00N-02-N-V-WAGES,800000.00,0.00,22834.00,777166.00,776656.00,510.00
,04-2051-00-103-01-S00N-03-N-V-TRAVEL EXPENSES,100000.00,0.00,70000.00,30000.00,22731.00,7269.00
,04-2051-00-103-01-S00N-05-N-V-OFFICE EXPENSES,1800000.00,0.00,0.00,1800000.00,1698348.00,101652.00
,04-2051-00-103-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,300000.00,70000.00,0.00,370000.00,369867.00,133.00
,04-2051-00-103-01-S00N-09-N-V-ADVERTISING & PUBLICITY,150000.00,0.00,0.00,150000.00,149839.00,161.00
,04-2051-00-103-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,55000.00,0.00,0.00,55000.00,43917.00,11083.00
,04-2051-00-103-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,30000000.00,50000000.00,0.00,80000000.00,79999975.00,25.00
,04-2051-00-103-01-S00N-15-N-V-TRAINING,1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2051-00-103-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,1910000.00,0.00,1911000.00,1901882.00,9118.00
,04-2051-00-103-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),700000.00,0.00,0.00,700000.00,698583.00,1417.00
,04-2051-00-103-01-S00N-64-N-V-TRANSFER EXPENSES,1000.00,0.00,100.00,900.00,900.00,0.00
,04-2052-00-090-01-S00N-01-N-V-SALARIES,483092000.00,0.00,18095000.00,464997000.00,383653548.00,81343452.00
,04-2052-00-090-01-S00N-02-N-V-WAGES,11033000.00,0.00,900000.00,10133000.00,10005325.00,127675.00
,04-2052-00-090-01-S00N-03-N-V-TRAVEL EXPENSES,5022000.00,0.00,3622000.00,1400000.00,1188300.00,211700.00
,04-2052-00-090-01-S00N-04-N-V-LIVERIES,784000.00,200000.00,0.00,984000.00,897275.00,86725.00
,04-2052-00-090-01-S00N-05-N-V-OFFICE EXPENSES,40275000.00,41351000.00,0.00,81626000.00,79835753.00,1790247.00
,04-2052-00-090-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,18487000.00,0.00,4287000.00,14200000.00,10900341.00,3299659.00
,"04-2052-00-090-01-S00N-07-N-V-RENT, RATES & TAXES",1650000.00,127316.00,0.00,1777316.00,1777316.00,0.00
,04-2052-00-090-01-S00N-09-N-V-ADVERTISING & PUBLICITY,1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2052-00-090-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,9380000.00,0.00,0.00,9380000.00,9076306.00,303694.00
,04-2052-00-090-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,49000.00,496683.00,0.00,545683.00,545683.00,0.00
,04-2052-00-090-01-S00N-15-N-V-TRAINING,1388000.00,0.00,0.00,1388000.00,0.00,1388000.00
,04-2052-00-090-01-S00N-20-N-V-OTHER CHARGES,150000.00,400000.00,0.00,550000.00,450000.00,100000.00
,04-2052-00-090-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,14040000.00,0.00,14041000.00,14040729.00,271.00
,04-2052-00-090-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),10378000.00,3500000.00,0.00,13878000.00,13877742.00,258.00
,04-2052-00-090-01-S00N-41-N-V-GRANTS-IN-AID GENERAL (Salary),13750000.00,0.00,0.00,13750000.00,13132546.00,617454.00
,04-2052-00-090-01-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),1000.00,88530.00,0.00,89530.00,89530.00,0.00
,04-2052-00-090-01-S00N-64-N-V-TRANSFER EXPENSES,116000.00,260000.00,0.00,376000.00,364223.00,11777.00
,04-2052-00-090-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,800000.00,95000.00,0.00,895000.00,888121.00,6879.00
,04-2052-00-090-01-S00N-99-N-V-HONORARIUM,339000.00,0.00,0.00,339000.00,284000.00,55000.00
,04-2052-00-090-02-S00N-01-N-V-SALARIES,72828000.00,0.00,0.00,72828000.00,59746241.00,13081759.00
,04-2052-00-090-02-S00N-03-N-V-TRAVEL EXPENSES,56000.00,0.00,0.00,56000.00,55574.00,426.00
,04-2052-00-090-02-S00N-04-N-V-LIVERIES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2052-00-090-02-S00N-05-N-V-OFFICE EXPENSES,134000.00,0.00,0.00,134000.00,133790.00,210.00
,04-2052-00-090-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,1113000.00,0.00,0.00,1113000.00,1108787.00,4213.00
,04-2052-00-090-03-S00N-01-N-V-SALARIES,11567000.00,0.00,0.00,11567000.00,7280351.00,4286649.00
,04-2052-00-090-03-S00N-03-N-V-TRAVEL EXPENSES,16000.00,0.00,0.00,16000.00,15702.00,298.00
,04-2052-00-090-03-S00N-05-N-V-OFFICE EXPENSES,33000.00,0.00,0.00,33000.00,26970.00,6030.00
,04-2052-00-090-03-S00N-06-N-V-MEDICAL REIMBURSEMENT,230000.00,0.00,0.00,230000.00,228185.00,1815.00
,04-2052-00-090-04-S00N-01-N-V-SALARIES,38270000.00,4000000.00,0.00,42270000.00,38391550.00,3878450.00
,04-2052-00-090-04-S00N-03-N-V-TRAVEL EXPENSES,55000.00,0.00,0.00,55000.00,54981.00,19.00
,04-2052-00-090-04-S00N-04-N-V-LIVERIES,8000.00,0.00,0.00,8000.00,0.00,8000.00
,04-2052-00-090-04-S00N-05-N-V-OFFICE EXPENSES,198000.00,0.00,0.00,198000.00,196725.00,1275.00
,04-2052-00-090-04-S00N-06-N-V-MEDICAL REIMBURSEMENT,454000.00,0.00,0.00,454000.00,427923.00,26077.00
,04-2052-00-090-05-S00N-01-N-V-SALARIES,58691000.00,0.00,0.00,58691000.00,44433732.00,14257268.00
,04-2052-00-090-05-S00N-03-N-V-TRAVEL EXPENSES,34000.00,0.00,0.00,34000.00,33992.00,8.00
,04-2052-00-090-05-S00N-04-N-V-LIVERIES,2000.00,0.00,0.00,2000.00,0.00,2000.00
,04-2052-00-090-05-S00N-05-N-V-OFFICE EXPENSES,108000.00,0.00,0.00,108000.00,107037.00,963.00
,04-2052-00-090-05-S00N-06-N-V-MEDICAL REIMBURSEMENT,353000.00,0.00,0.00,353000.00,352972.00,28.00
,04-2052-00-090-06-S00N-01-N-V-SALARIES,99246000.00,0.00,0.00,99246000.00,77935802.00,21310198.00
,04-2052-00-090-06-S00N-03-N-V-TRAVEL EXPENSES,50000.00,0.00,0.00,50000.00,49428.00,572.00
,04-2052-00-090-06-S00N-04-N-V-LIVERIES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2052-00-090-06-S00N-05-N-V-OFFICE EXPENSES,341000.00,0.00,0.00,341000.00,339597.00,1403.00
,04-2052-00-090-06-S00N-06-N-V-MEDICAL REIMBURSEMENT,420000.00,0.00,0.00,420000.00,407429.00,12571.00
,04-2052-00-090-07-S00N-01-N-V-SALARIES,66973000.00,0.00,0.00,66973000.00,51138498.00,15834502.00
,04-2052-00-090-07-S00N-03-N-V-TRAVEL EXPENSES,19000.00,0.00,0.00,19000.00,18775.00,225.00
,04-2052-00-090-07-S00N-04-N-V-LIVERIES,21000.00,0.00,0.00,21000.00,16008.00,4992.00
,04-2052-00-090-07-S00N-05-N-V-OFFICE EXPENSES,45000.00,0.00,0.00,45000.00,44754.00,246.00
,04-2052-00-090-07-S00N-06-N-V-MEDICAL REIMBURSEMENT,290000.00,0.00,0.00,290000.00,287657.00,2343.00
,04-2052-00-091-01-S00N-01-N-V-SALARIES,11852000.00,0.00,3016198.00,8835802.00,8461231.00,374571.00
,04-2052-00-091-01-S00N-02-N-V-WAGES,209000.00,0.00,0.00,209000.00,188816.00,20184.00
,04-2052-00-091-01-S00N-03-N-V-TRAVEL EXPENSES,21000.00,0.00,0.00,21000.00,3576.00,17424.00
,04-2052-00-091-01-S00N-05-N-V-OFFICE EXPENSES,1759000.00,0.00,928685.00,830315.00,1012686.00,-182371.00
,04-2052-00-091-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,500000.00,0.00,25554.00,474446.00,434717.00,39729.00
,04-2052-00-091-01-S00N-20-N-V-OTHER CHARGES,200000.00,0.00,0.00,200000.00,8115.00,191885.00
,04-2052-00-091-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2052-00-091-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),5336000.00,0.00,2550801.00,2785199.00,2777415.00,7784.00
,04-2052-00-091-01-S00N-64-N-V-TRANSFER EXPENSES,1000.00,20000.00,0.00,21000.00,8044.00,12956.00
,04-2052-00-091-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,2329000.00,0.00,324636.00,2004364.00,2121273.00,-116909.00
,04-2053-00-800-01-S00N-20-N-V-OTHER CHARGES,5000000.00,0.00,0.00,5000000.00,4810061.00,189939.00
,04-2053-00-800-05-S00N-20-N-V-OTHER CHARGES,210000000.00,0.00,0.00,210000000.00,147979874.00,62020126.00
,04-2059-01-053-22-S00N-21-N-V-MAINTENANCE,382000.00,0.00,0.00,382000.00,377765.00,4235.00
,04-2059-01-053-27-S00N-21-N-V-MAINTENANCE,50000000.00,15601000.00,0.00,65601000.00,65600773.00,227.00
,04-2059-01-053-28-S00N-21-N-V-MAINTENANCE,916000.00,8526000.00,0.00,9442000.00,2198352.00,7243648.00
,04-2059-01-053-39-S00N-21-N-V-MAINTENANCE,536000.00,2000000.00,0.00,2536000.00,2536000.00,0.00
,04-2059-01-053-45-S00N-21-N-V-MAINTENANCE,300000.00,600000.00,0.00,900000.00,900000.00,0.00
,04-2059-60-053-01-S00N-21-N-V-MAINTENANCE,3397000.00,0.00,3000.00,3394000.00,3394000.00,0.00
,04-2070-00-115-01-S00N-01-N-V-SALARIES,4427000.00,0.00,0.00,4427000.00,3767014.00,659986.00
,04-2070-00-115-01-S00N-02-N-V-WAGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2070-00-115-01-S00N-03-N-V-TRAVEL EXPENSES,6000.00,10000.00,0.00,16000.00,11754.00,4246.00
,04-2070-00-115-01-S00N-05-N-V-OFFICE EXPENSES,81000.00,0.00,0.00,81000.00,79998.00,1002.00
,04-2070-00-115-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,90000.00,0.00,0.00,90000.00,39880.00,50120.00
,04-2070-00-115-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,7235000.00,11800000.00,0.00,19035000.00,19030589.00,4411.00
,04-2070-00-115-02-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),50000000.00,0.00,0.00,50000000.00,50000000.00,0.00
,04-2075-00-104-01-S00N-20-N-V-OTHER CHARGES,2500000.00,0.00,0.00,2500000.00,2500000.00,0.00
,04-2075-00-800-01-S00N-20-N-V-OTHER CHARGES,7000.00,113000.00,0.00,120000.00,127940.00,-7940.00
,04-2075-00-800-03-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),25000000.00,0.00,0.00,25000000.00,25000000.00,0.00
,04-2075-00-800-04-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),15000000.00,37000000.00,0.00,52000000.00,52000000.00,0.00
,04-2075-00-800-09-S00N-20-N-V-OTHER CHARGES,0.00,11305.00,0.00,11305.00,11305.00,0.00
,04-2075-00-800-09-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),500000.00,237000.00,0.00,737000.00,737000.00,0.00
,04-2075-00-800-10-S00N-16-N-V-SOCIAL SECURITY PENSION,65100000.00,0.00,0.00,65100000.00,65100000.00,0.00
,04-2075-00-800-13-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),600000.00,8910000.00,0.00,9510000.00,9505457.00,4543.00
,04-2075-00-800-14-S00N-20-N-V-OTHER CHARGES,170000000.00,0.00,0.00,170000000.00,145264500.00,24735500.00
,04-2075-00-800-15-S00N-20-N-V-OTHER CHARGES,0.00,329000.00,0.00,329000.00,328530.00,470.00
,04-2216-05-053-01-S00N-21-N-V-MAINTENANCE,240000000.00,0.00,0.00,240000000.00,0.00,240000000.00
,04-2216-05-053-04-S00N-21-N-V-MAINTENANCE,78000.00,1500000.00,0.00,1578000.00,1500000.00,78000.00
,04-2216-05-800-04-S00N-01-N-V-SALARIES,6712000.00,0.00,0.00,6712000.00,4906545.00,1805455.00
,04-2216-05-800-04-S00N-02-N-V-WAGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2216-05-800-04-S00N-05-N-V-OFFICE EXPENSES,127000.00,0.00,0.00,127000.00,126980.00,20.00
,04-2216-05-800-04-S00N-06-N-V-MEDICAL REIMBURSEMENT,150000.00,0.00,0.00,150000.00,83768.00,66232.00
,04-2216-05-800-04-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,274000.00,37000.00,0.00,311000.00,309738.00,1262.00
,04-2235-60-200-01-S00N-01-N-V-SALARIES,6283000.00,1500000.00,0.00,7783000.00,7275082.00,507918.00
,04-2235-60-200-01-S00N-03-N-V-TRAVEL EXPENSES,63000.00,0.00,20000.00,43000.00,16173.00,26827.00
,04-2235-60-200-01-S00N-05-N-V-OFFICE EXPENSES,350000.00,0.00,0.00,350000.00,350000.00,0.00
,04-2235-60-200-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,50000.00,125000.00,0.00,175000.00,166389.00,8611.00
,04-2235-60-200-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),134000.00,25000.00,0.00,159000.00,158879.00,121.00
,04-2235-60-200-02-S00N-01-N-V-SALARIES,32701000.00,0.00,0.00,32701000.00,30121030.00,2579970.00
,04-2235-60-200-02-S00N-02-N-V-WAGES,703000.00,57000.00,0.00,760000.00,759875.00,125.00
,04-2235-60-200-02-S00N-03-N-V-TRAVEL EXPENSES,304000.00,0.00,50000.00,254000.00,152283.00,101717.00
,04-2235-60-200-02-S00N-05-N-V-OFFICE EXPENSES,766000.00,0.00,0.00,766000.00,765994.00,6.00
,04-2235-60-200-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,97000.00,0.00,0.00,97000.00,62731.00,34269.00
,"04-2235-60-200-02-S00N-07-N-V-RENT, RATES & TAXES",120000.00,0.00,0.00,120000.00,82112.00,37888.00
,04-2235-60-200-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),462000.00,0.00,100000.00,362000.00,235420.00,126580.00
,04-2235-60-200-02-S00N-64-N-V-TRANSFER EXPENSES,1000.00,1500.00,0.00,2500.00,2250.00,250.00
,04-2235-60-200-02-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1623000.00,254000.00,0.00,1877000.00,1865960.00,11040.00
,04-2235-60-200-04-S00N-01-N-V-SALARIES,2428000.00,0.00,328000.00,2100000.00,2092915.00,7085.00
,04-2235-60-200-04-S00N-03-N-V-TRAVEL EXPENSES,14000.00,20000.00,0.00,34000.00,27902.00,6098.00
,04-2235-60-200-04-S00N-05-N-V-OFFICE EXPENSES,350000.00,1500000.00,0.00,1850000.00,1850000.00,0.00
,04-2235-60-200-04-S00N-06-N-V-MEDICAL REIMBURSEMENT,1000.00,0.00,1000.00,0.00,0.00,0.00
,"04-2235-60-200-04-S00N-07-N-V-RENT, RATES & TAXES",20000.00,0.00,4000.00,16000.00,15576.00,424.00
,04-2235-60-200-05-S00N-16-N-V-SOCIAL SECURITY PENSION,85769000.00,0.00,10287776.00,75481224.00,75481224.00,0.00
,04-2235-60-200-06-S00N-01-N-V-SALARIES,1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-06-S00N-03-N-V-TRAVEL EXPENSES,1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-06-S00N-05-N-V-OFFICE EXPENSES,1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-06-S00N-06-N-V-MEDICAL REIMBURSEMENT,1000.00,0.00,1000.00,0.00,0.00,0.00
,"04-2235-60-200-06-S00N-07-N-V-RENT, RATES & TAXES",1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-07-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,1000.00,0.00,0.00,0.00
,04-2235-60-200-08-S00N-20-N-V-OTHER CHARGES,1300000.00,0.00,0.00,1300000.00,1029000.00,271000.00
,04-2235-60-200-09-S00N-20-N-V-OTHER CHARGES,400000.00,245000.00,0.00,645000.00,645000.00,0.00
,04-2235-60-200-20-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),6500000.00,0.00,0.00,6500000.00,6500000.00,0.00
,04-2235-60-200-27-S00N-20-N-V-OTHER CHARGES,7260000.00,5746339.00,0.00,13006339.00,13006339.00,0.00
,04-2251-00-090-01-S00N-01-N-V-SALARIES,41698000.00,10000000.00,0.00,51698000.00,49886899.00,1811101.00
,04-2251-00-090-01-S00N-03-N-V-TRAVEL EXPENSES,1000.00,0.00,0.00,1000.00,884.00,116.00
,04-2251-00-090-01-S00N-04-N-V-LIVERIES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-2251-00-090-01-S00N-05-N-V-OFFICE EXPENSES,38000.00,0.00,0.00,38000.00,37783.00,217.00
,04-2251-00-090-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,168000.00,0.00,0.00,168000.00,167360.00,640.00
,04-2251-00-090-02-S00N-01-N-V-SALARIES,12995000.00,0.00,0.00,12995000.00,11752486.00,1242514.00
,04-2251-00-090-02-S00N-03-N-V-TRAVEL EXPENSES,5000.00,0.00,0.00,5000.00,4554.00,446.00
,04-2251-00-090-02-S00N-04-N-V-LIVERIES,3000.00,0.00,0.00,3000.00,0.00,3000.00
,04-2251-00-090-02-S00N-05-N-V-OFFICE EXPENSES,33000.00,0.00,0.00,33000.00,32767.00,233.00
,04-2251-00-090-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,155000.00,0.00,0.00,155000.00,154762.00,238.00
,04-2251-00-090-03-S00N-01-N-V-SALARIES,37414000.00,0.00,0.00,37414000.00,31958702.00,5455298.00
,04-2251-00-090-03-S00N-03-N-V-TRAVEL EXPENSES,33000.00,0.00,0.00,33000.00,32784.00,216.00
,04-2251-00-090-03-S00N-05-N-V-OFFICE EXPENSES,35000.00,0.00,0.00,35000.00,34674.00,326.00
,04-2251-00-090-03-S00N-06-N-V-MEDICAL REIMBURSEMENT,215000.00,0.00,0.00,215000.00,214977.00,23.00
,04-2251-00-090-04-S00N-01-N-V-SALARIES,17422000.00,0.00,0.00,17422000.00,13690619.00,3731381.00
,04-2251-00-090-04-S00N-03-N-V-TRAVEL EXPENSES,4000.00,0.00,0.00,4000.00,3820.00,180.00
,04-2251-00-090-04-S00N-05-N-V-OFFICE EXPENSES,1000.00,0.00,0.00,1000.00,998.00,2.00
,04-2251-00-090-04-S00N-06-N-V-MEDICAL REIMBURSEMENT,99000.00,0.00,0.00,99000.00,98475.00,525.00
,04-2251-00-090-05-S00N-01-N-V-SALARIES,9282000.00,0.00,0.00,9282000.00,8084843.00,1197157.00
,04-2251-00-090-05-S00N-03-N-V-TRAVEL EXPENSES,3000.00,0.00,0.00,3000.00,2890.00,110.00
,04-2251-00-090-05-S00N-05-N-V-OFFICE EXPENSES,15000.00,0.00,0.00,15000.00,14750.00,250.00
,04-2251-00-090-05-S00N-06-N-V-MEDICAL REIMBURSEMENT,110000.00,0.00,0.00,110000.00,109652.00,348.00
,04-2251-00-090-06-S00N-01-N-V-SALARIES,14994000.00,0.00,0.00,14994000.00,11975762.00,3018238.00
,04-2251-00-090-06-S00N-03-N-V-TRAVEL EXPENSES,16000.00,0.00,0.00,16000.00,15838.00,162.00
,04-2251-00-090-06-S00N-05-N-V-OFFICE EXPENSES,32000.00,0.00,0.00,32000.00,31235.00,765.00
,04-2251-00-090-06-S00N-06-N-V-MEDICAL REIMBURSEMENT,85000.00,0.00,0.00,85000.00,84987.00,13.00
,04-2251-00-090-08-S00N-01-N-V-SALARIES,8711000.00,0.00,0.00,8711000.00,7427958.00,1283042.00
,04-2251-00-090-08-S00N-03-N-V-TRAVEL EXPENSES,4000.00,0.00,0.00,4000.00,3770.00,230.00
,04-2251-00-090-08-S00N-05-N-V-OFFICE EXPENSES,1000.00,0.00,0.00,1000.00,998.00,2.00
,04-2251-00-090-08-S00N-06-N-V-MEDICAL REIMBURSEMENT,51000.00,0.00,0.00,51000.00,50977.00,23.00
,04-3425-60-001-02-S00N-01-N-V-SALARIES,32000000.00,0.00,0.00,32000000.00,20279029.00,11720971.00
,04-3425-60-001-02-S00N-02-N-V-WAGES,475000.00,30000.00,0.00,505000.00,504941.00,59.00
,04-3425-60-001-02-S00N-03-N-V-TRAVEL EXPENSES,966000.00,0.00,60000.00,906000.00,210295.00,695705.00
,04-3425-60-001-02-S00N-05-N-V-OFFICE EXPENSES,700000.00,0.00,0.00,700000.00,567718.00,132282.00
,04-3425-60-001-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,550000.00,0.00,0.00,550000.00,252120.00,297880.00
,04-3425-60-001-02-S00N-09-N-V-ADVERTISING & PUBLICITY,162000.00,0.00,0.00,162000.00,0.00,162000.00
,04-3425-60-001-02-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,50000.00,0.00,0.00,50000.00,7172.00,42828.00
,04-3425-60-001-02-S00N-21-N-V-MAINTENANCE,1000000.00,0.00,0.00,1000000.00,0.00,1000000.00
,04-3425-60-001-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,04-3425-60-001-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),500000.00,0.00,0.00,500000.00,359742.00,140258.00
,04-3425-60-001-02-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),32696000.00,0.00,14884459.00,17811541.00,16162965.00,1648576.00
,04-3425-60-200-01-S00N-41-N-V-GRANTS-IN-AID GENERAL (Salary),16800000.00,0.00,0.00,16800000.00,16800000.00,0.00
,04-3425-60-200-01-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),21100000.00,0.00,0.00,21100000.00,21100000.00,0.00
,04-3425-60-200-01-S00N-44-P-V-GRANTS-IN-AID FOR CAPITAL ASSETS,43800000.00,0.00,0.00,43800000.00,43800000.00,0.00
